query_date,flight_type,region,route_point,scheduled_time,actual_time,delay_minutes,status,status_code,flight_numbers,airline_codes,terminal,gate,stand,hall,baggage_belt,check_in,transfer_desk
2026-06-06,departure,South Korea,ICN,2026-06-06 00:05,2026-06-06 00:09,4,Dep 00:09,,ZE 862,ESR,T1,20,,,,J,
2026-06-06,arrival,South Korea,ICN,2026-06-06 00:15,2026-06-06 00:24,9,At gate 00:24,,BX 3935,ABL,,,W40,A,8,,
2026-06-06,departure,South Korea,ICN,2026-06-06 00:35,2026-06-06 01:12,37,Dep 01:12,,7C 6014; H1 9933,JJA; HHN,T2,523,,,,V,
2026-06-06,arrival,Japan,KIX,2026-06-06 00:40,2026-06-06 00:24,-16,At gate 00:24,,UO 863; CX 5863,HKE; CPA,,,W121L,A,10,,
2026-06-06,departure,South Korea,ICN,2026-06-06 00:45,2026-06-06 00:48,3,Dep 00:48,,KE 2012; DL 7774; VS 5516; WS 6036; AC 6299,KAL; DAL; VIR; WJA; ACA,T1,11,,,,G,
2026-06-06,arrival,Japan,NRT,2026-06-06 00:55,2026-06-06 00:55,0,At gate 00:55,,HX 631; TK 8869,CRK; THY,,,D201,A,7,,
2026-06-06,departure,UK,MAN,2026-06-06 00:55,2026-06-06 00:59,4,Dep 00:59,,CX 259,CPA,T1,69,,,,BC,
2026-06-06,departure,Japan,NRT,2026-06-06 00:55,2026-06-06 01:45,50,Dep 01:45,,GK 028,JJP,T1,521,,,,F,
2026-06-06,departure,Japan,KIX,2026-06-06 00:55,2026-06-06 00:52,-3,Dep 00:52,,MM 068,APJ,T1,19,,,,K,
2026-06-06,departure,Japan,NRT,2026-06-06 01:15,2026-06-06 01:05,-10,Dep 01:05,,UO 854,HKE,T1,203,,,,H,
2026-06-06,arrival,South Korea,ICN,2026-06-06 01:20,2026-06-06 00:43,-37,At gate 00:43,,UO 627,HKE,,,D305L,A,9,,
2026-06-06,departure,Japan,NRT,2026-06-06 01:20,2026-06-06 01:42,22,Dep 01:42,,CX 524; QR 5844; JL 7040; AA 8884,CPA; QTR; JAL; AAL,T1,68,,,,A,
2026-06-06,departure,South Korea,ICN,2026-06-06 01:25,2026-06-06 01:23,-2,Dep 01:23,,BX 3945,ABL,T1,40,,,,D,
2026-06-06,arrival,Japan,NRT,2026-06-06 01:30,2026-06-06 01:14,-16,At gate 01:14,,UO 653,HKE,,,D311,A,8,,
2026-06-06,departure,South Korea,ICN,2026-06-06 01:40,2026-06-06 01:34,-6,Dep 01:34,,OZ 746; HX 1566,AAR; CRK,T1,10,,,,E,
2026-06-06,departure,Japan,KIX,2026-06-06 01:55,2026-06-06 01:52,-3,Dep 01:52,,CX 566; QR 5838; JL 7050,CPA; QTR; JAL,T1,44,,,,A,
2026-06-06,departure,South Korea,CJU,2026-06-06 02:00,2026-06-06 02:05,5,Dep 02:05,,LJ 714,JNA,T1,522,,,,D,
2026-06-06,departure,South Korea,CJU,2026-06-06 02:30,2026-06-06 02:21,-9,Dep 02:21,,UO 698; CX 5698,HKE; CPA,T1,210,,,,H,
2026-06-06,departure,Japan,NRT,2026-06-06 02:35,2026-06-06 02:34,-1,Dep 02:34,,HX 606; TK 9204,CRK; THY,T2,202,,,,R,
2026-06-06,departure,South Korea,PUS,2026-06-06 02:35,2026-06-06 02:39,4,Dep 02:39,,UO 604; CX 5604,HKE; CPA,T1,217,,,,H,
2026-06-06,departure,Japan,KIX,2026-06-06 02:50,2026-06-06 03:25,35,Dep 03:25,,HX 616; TK 9211; EY 6810,CRK; THY; ETD,T2,211,,,,R,
2026-06-06,arrival,Japan,HND,2026-06-06 04:40,2026-06-06 04:45,5,At gate 04:45,,UO 623; CX 5623,HKE; CPA,,,D217,A,8,,
2026-06-06,arrival,South Korea,ICN,2026-06-06 04:45,2026-06-06 05:17,32,At gate 05:17,,CX 427; QF 8219; AA 8892,CPA; QFA; AAL,,,R19,A,6,,
2026-06-06,arrival,Japan,HND,2026-06-06 05:15,2026-06-06 05:00,-15,At gate 05:00,,NH 813,ANA,,,N28,A,7,,
2026-06-06,arrival,South Korea,ICN,2026-06-06 05:25,2026-06-06 05:05,-20,At gate 05:05,,UO 615; CX 5615,HKE; CPA,,,D316,A,10,,
2026-06-06,arrival,South Korea,ICN,2026-06-06 05:45,2026-06-06 05:13,-32,At gate 05:13,,HX 627; OZ 9295,CRK; AAR,,,D202,A,9,,
2026-06-06,arrival,Japan,HND,2026-06-06 06:00,2026-06-06 05:52,-8,At gate 05:52,,UO 629; CX 5629,HKE; CPA,,,D301R,A,2,,
2026-06-06,arrival,UK,MAN,2026-06-06 06:35,2026-06-06 07:05,30,At gate 07:05,,CX 216,CPA,,,W61,B,12,,
2026-06-06,departure,Japan,OKA,2026-06-06 07:00,2026-06-06 06:56,-4,Dep 06:56,,UO 842; CX 5842,HKE; CPA,T1,511,,,,H,
2026-06-06,departure,Japan,KIX,2026-06-06 07:05,2026-06-06 10:27,202,Dep 10:27,,UO 850,HKE,T1,230,,,,H,
2026-06-06,departure,South Korea,ICN,2026-06-06 07:15,2026-06-06 07:10,-5,Dep 07:10,,UO 618,HKE,T1,217,,,,H,
2026-06-06,departure,Japan,FUK,2026-06-06 07:30,2026-06-06 07:21,-9,Dep 07:21,,HB 308,HGB,T2,206,,,,S,
2026-06-06,departure,Japan,FUK,2026-06-06 07:35,2026-06-06 07:36,1,Dep 07:36,,UO 600,HKE,T1,523,,,,H,
2026-06-06,arrival,UK,LHR,2026-06-06 07:50,2026-06-06 07:34,-16,At gate 07:34,,CX 252,CPA,,,N26,B,16,,
2026-06-06,departure,South Korea,ICN,2026-06-06 07:55,2026-06-06 07:49,-6,Dep 07:49,,CX 434; QR 3498; AA 8959,CPA; QTR; AAL,T1,34,,,,D,
2026-06-06,departure,UK,LHR,2026-06-06 08:05,2026-06-06 08:10,5,Dep 08:10,,CX 257,CPA,T1,67,,,,BC,
2026-06-06,departure,Japan,TPE; KIX,2026-06-06 08:10,2026-06-06 08:07,-3,Dep 08:07,,CX 564; JL 7054,CPA; JAL,T1,4,,,,E,
2026-06-06,departure,Japan,KIX,2026-06-06 08:10,2026-06-06 08:24,14,Dep 08:24,,CX 596; QR 5826; JL 7028,CPA; QTR; JAL,T1,33,,,,D,
2026-06-06,departure,Japan,FUK,2026-06-06 08:15,2026-06-06 08:14,-1,Dep 08:14,,CX 512; QR 5849; JL 7068,CPA; QTR; JAL,T1,13,,,,D,
2026-06-06,departure,Japan,NRT,2026-06-06 08:15,2026-06-06 08:19,4,Dep 08:19,,CX 526; QR 5840; JL 7026; FJ 5478; AA 8956,CPA; QTR; JAL; FJI; AAL,T1,24,,,,F,
2026-06-06,departure,Japan,KIX,2026-06-06 08:15,2026-06-06 08:07,-8,Dep 08:07,,HB 340,HGB,T2,204,,,,S,
2026-06-06,departure,Japan,NRT,2026-06-06 08:30,2026-06-06 08:26,-4,Dep 08:26,,HX 604; TK 9202,CRK; THY,T2,210,,,,R,
2026-06-06,departure,Japan,TPE; NGO,2026-06-06 08:35,2026-06-06 08:32,-3,Dep 08:32,,CX 530; JL 7034,CPA; JAL,T1,11,,,,E,
2026-06-06,departure,Japan,HND,2026-06-06 08:40,2026-06-06 08:39,-1,Dep 08:39,,CX 548; QR 5820; JL 7030,CPA; QTR; JAL,T1,62,,,,F,
2026-06-06,departure,Japan,KIX,2026-06-06 08:45,2026-06-06 08:53,8,Dep 08:53,,HX 614; TK 8866; EY 6809,CRK; THY; ETD,T2,202,,,,R,
2026-06-06,departure,South Korea,ICN,2026-06-06 08:45,2026-06-06 09:03,18,Dep 09:03,,HX 628; OZ 9294,CRK; AAR,T2,228,,,,R,
2026-06-06,departure,Japan,CTS,2026-06-06 08:45,2026-06-06 08:48,3,Dep 08:48,,HX 690; EY 6800,CRK; ETD,T2,205,,,,R,
2026-06-06,departure,Japan,KIX,2026-06-06 08:45,2026-06-06 08:42,-3,Dep 08:42,,UO 686,HKE,T1,511,,,,H,
2026-06-06,departure,Japan,NRT,2026-06-06 09:05,2026-06-06 09:15,10,Dep 09:15,,CX 504; QR 5846; JL 7042; AA 8880,CPA; QTR; JAL; AAL,T1,36,,,,F,
2026-06-06,departure,Japan,NRT,2026-06-06 09:05,2026-06-06 09:16,11,Dep 09:16,,HB 320,HGB,T2,208,,,,S,
2026-06-06,departure,Japan,CTS,2026-06-06 09:05,2026-06-06 09:03,-2,Dep 09:03,,HB 880,HGB,T2,211,,,,S,
2026-06-06,departure,Japan,NRT,2026-06-06 09:10,2026-06-06 09:11,1,Dep 09:11,,HX 608; TK 9206,CRK; THY,T2,216,,,,R,
2026-06-06,departure,South Korea,PUS,2026-06-06 09:10,2026-06-06 09:16,6,Dep 09:16,,UO 674; CX 5674,HKE; CPA,T1,218,,,,H,
2026-06-06,departure,Japan,CTS,2026-06-06 09:15,2026-06-06 09:25,10,Dep 09:25,,CX 580; QF 8215; QR 5804; JL 7062,CPA; QFA; QTR; JAL,T1,30,,,,F,
2026-06-06,departure,Japan,NRT,2026-06-06 09:15,2026-06-06 09:30,15,Dep 09:30,,UO 848,HKE,T1,217,,,,H,
2026-06-06,departure,South Korea,ICN,2026-06-06 09:25,2026-06-06 09:31,6,Dep 09:31,,CX 410; QF 8223; AA 8887,CPA; QFA; AAL,T1,46,,,,D,
2026-06-06,departure,Japan,NRT,2026-06-06 09:30,2026-06-06 09:45,15,Dep 09:45,,NH 812; AC 6287; NZ 4148; UA 7988,ANA; ACA; ANZ; UAL,T1,28,,,,E,
2026-06-06,arrival,South Korea,CJU,2026-06-06 09:40,2026-06-06 09:27,-13,At gate 09:27,,UO 699; CX 5699,HKE; CPA,,,D203,B,17,,
2026-06-06,departure,South Korea,ICN,2026-06-06 09:45,2026-06-06 11:12,87,Dep 11:12,,UO 630,HKE,T1,,,,,H,
2026-06-06,departure,Japan,TPE; NRT,2026-06-06 09:55,2026-06-06 10:10,15,Dep 10:10,,CX 450; JL 7044,CPA; JAL,T1,34,,,,E,
2026-06-06,departure,South Korea,TAE,2026-06-06 10:00,2026-06-06 10:10,10,Dep 10:10,,UO 832; CX 5832,HKE; CPA,T1,207,,,,H,
2026-06-06,departure,Japan,NGO,2026-06-06 10:10,2026-06-06 10:42,32,Dep 10:42,,CX 536; QF 8213; QR 8371; JL 7036,CPA; QFA; QTR; JAL,T1,4,,,,D,
2026-06-06,arrival,Japan,HND,2026-06-06 10:15,2026-06-06 10:08,-7,At gate 10:08,,UO 625; CX 5625,HKE; CPA,,,D218,B,15,,
2026-06-06,arrival,South Korea,PUS,2026-06-06 10:20,2026-06-06 10:39,19,At gate 10:39,,UO 607; CX 5607,HKE; CPA,,,D211,B,16,,
2026-06-06,departure,Japan,FUK,2026-06-06 10:20,2026-06-06 10:29,9,Dep 10:29,,HX 640; EY 6807,CRK; ETD,T2,201,,,,R,
2026-06-06,departure,Japan,KIX,2026-06-06 10:25,2026-06-06 10:55,30,Dep 10:55,,CX 506; QR 5822; JL 7052,CPA; QTR; JAL,T1,35,,,,D,
